label,BRCA1,BRCA2,TP53,PIK3CA,CDH1,PTEN,AKT1,MYC,CCND1,ERBB2,ESR1,PGR,MKI67,KRAS,EGFR,VEGFA,MMP9,CDKN2A,STAT3,JAK2
Cancer,-1.3402,-1.059,-0.8097,0.2365,2.0316,0.0159,-0.6672,-0.5634,0.558,1.0456,4.6649,4.1578,-3.018,-0.4872,-2.7024,0.0831,-2.7615,-0.4015,0.3999,0.2468
Cancer,-2.1044,-2.6325,-0.9185,0.2998,3.5099,0.9175,0.7258,-1.0483,1.6666,1.336,3.2847,-1.5437,-2.8812,-0.3828,-2.0346,-0.3948,-4.339,0.6894,0.61,-1.0838
Cancer,-2.2935,-1.7258,1.1833,0.3792,1.8427,0.4801,0.5011,0.1066,1.0836,1.4878,-3.3426,-2.9152,-1.6648,-1.4908,1.1512,0.4726,-1.1765,1.6178,1.3499,0.118
Cancer,-1.9493,-1.7455,-0.0875,-0.164,1.844,-0.4209,0.3304,-2.1164,-0.1432,2.3028,4.4631,3.752,-2.6192,-0.2725,-1.7683,-1.8488,-3.6315,0.4552,1.0194,0.8917
Cancer,-1.5703,-0.9008,-2.0828,-0.254,2.3032,-0.4275,0.2925,-0.5024,-1.0841,2.4831,-3.038,-1.799,-0.2572,0.258,0.2035,1.0713,-3.2425,2.7418,2.3645,-1.1037
Cancer,-1.5155,-1.55,0.0762,0.4385,0.7325,0.8299,-1.1534,0.4156,0.7847,2.2367,-1.0925,-2.9425,-2.4495,-0.0229,1.9328,0.0123,-1.3952,-0.0316,0.2687,-0.2292
Cancer,-0.3648,-0.0818,1.8048,-1.1918,2.9098,1.0664,1.468,-0.789,0.5478,2.7829,2.8423,2.032,-0.3428,-1.0732,-2.954,-0.258,-2.1012,-0.7295,1.7909,-1.5868
Cancer,-1.1012,-1.229,-0.9928,0.097,2.7,-0.1027,-0.412,-1.7889,0.8778,2.6792,5.6137,-2.9375,-3.7245,-0.3817,-4.2147,-0.9685,-5.358,-0.0727,0.4329,-0.8117
Cancer,-0.1267,-1.104,-0.4922,-0.1005,1.7607,-0.261,-0.7694,-0.2808,1.1338,2.3606,4.5798,2.2678,-0.7702,-0.0853,-2.662,-1.4482,-3.3855,0.5045,0.8931,-0.7412
Cancer,-2.1455,-1.7412,-0.03,0.3312,2.1967,0.8395,-0.3416,-1.8537,0.7945,1.964,3.0908,3.5697,-3.307,0.1727,-1.7168,-1.2384,-2.0822,0.5583,0.9829,0.7572
Cancer,-1.1252,-0.4828,-0.261,-0.4198,1.6802,-0.0379,0.076,-1.7898,0.0429,1.924,3.4851,1.8505,-1.7288,-0.0562,-2.0822,-1.4787,-5.4148,-0.4689,-0.077,1.427
Cancer,-1.6604,0.8952,-1.8312,0.1282,2.59,0.5286,0.8569,-2.6703,0.688,1.5435,4.4306,-2.0378,-1.118,0.5512,-1.0516,1.3322,0.3388,0.783,0.417,-0.422
